itemname,key,delay,value_type,description,application,discovery_rule,template,units
#{#SNMPINDEX}: CPU utilization,system.cpu.util[hrProcessorLoad.{#SNMPINDEX}],3m,0,"MIB: HOST-RESOURCES-MIB
The average, over the last minute, of the percentage of time that this processor was not idle.
Implementations may approximate this one minute smoothing period if necessary.",CPU,CPU Discovery,Template Module HOST-RESOURCES-MIB SNMPv2,%
#{#SNMPINDEX}: Memory utilization,vm.memory.pused[memoryUsedPercentage.{#SNMPINDEX}],3m,0,Memory utilization in %,Memory,Memory Discovery,Template Module HOST-RESOURCES-MIB SNMPv2,%
{#SNMPVALUE}: Storage utilization,vfs.fs.pused[storageUsedPercentage.{#SNMPINDEX}],5m,0,Storage utilization in % for {#SNMPVALUE},Storage,Storage Discovery,Template Module HOST-RESOURCES-MIB SNMPv2,%
Interface {#IFDESCR}: Inbound packets discarded,net.if.in.discards[ifInDiscards.{#SNMPINDEX}],5m,3,"MIB: IF-MIB
The number of inbound packets which were chosen to be discarded
even though no errors had been detected to prevent their being deliverable to a higher-layer protocol.
One possible reason for discarding such a packet could be to free up buffer space.
Discontinuities in the value of this counter can occur at re-initialization of the management system,
and at other times as indicated by the value of ifCounterDiscontinuityTime.",Network interfaces,Network Interfaces Discovery,Template Module Interfaces Simple SNMPv1,
Interface {#IFDESCR}: Inbound packets discarded,net.if.in.discards[ifInDiscards.{#SNMPINDEX}],5m,3,"MIB: IF-MIB
The number of inbound packets which were chosen to be discarded
even though no errors had been detected to prevent their being deliverable to a higher-layer protocol.
One possible reason for discarding such a packet could be to free up buffer space.
Discontinuities in the value of this counter can occur at re-initialization of the management system,
and at other times as indicated by the value of ifCounterDiscontinuityTime.",Network interfaces,Network Interfaces Discovery,Template Module Interfaces Simple SNMPv2,
Interface {#IFNAME}({#IFALIAS}): Inbound packets discarded,net.if.in.discards[ifInDiscards.{#SNMPINDEX}],5m,3,"MIB: IF-MIB
The number of inbound packets which were chosen to be discarded
even though no errors had been detected to prevent their being deliverable to a higher-layer protocol.
One possible reason for discarding such a packet could be to free up buffer space.
Discontinuities in the value of this counter can occur at re-initialization of the management system,
and at other times as indicated by the value of ifCounterDiscontinuityTime.",Network interfaces,Network Interfaces Discovery,Template Module Interfaces SNMPv1,
Interface {#IFNAME}({#IFALIAS}): Inbound packets discarded,net.if.in.discards[ifInDiscards.{#SNMPINDEX}],5m,3,"MIB: IF-MIB
The number of inbound packets which were chosen to be discarded
even though no errors had been detected to prevent their being deliverable to a higher-layer protocol.
One possible reason for discarding such a packet could be to free up buffer space.
Discontinuities in the value of this counter can occur at re-initialization of the management system,
and at other times as indicated by the value of ifCounterDiscontinuityTime.",Network interfaces,Network Interfaces Discovery,Template Module Interfaces SNMPv2,
Interface {#IFNAME}({#IFALIAS}): Inbound packets discarded,net.if.in.discards[ifInDiscards.{#SNMPINDEX}],5m,3,"MIB: IF-MIB
The number of inbound packets which were chosen to be discarded
even though no errors had been detected to prevent their being deliverable to a higher-layer protocol.
One possible reason for discarding such a packet could be to free up buffer space.
Discontinuities in the value of this counter can occur at re-initialization of the management system,
and at other times as indicated by the value of ifCounterDiscontinuityTime.",Network interfaces,Network Interfaces Discovery,Template Module Interfaces Windows SNMPv2,
{#ENT_NAME}: Hardware serial number,system.hw.serialnumber[tmnxHwSerialNumber.{#SNMPINDEX}],1h,1,MIB: TIMETRA-CHASSIS-MIB,Inventory,Entity Serial Numbers Discovery,Template Net Alcatel Timetra TiMOS SNMPv2,
#{#SNMPINDEX}: Fan status,sensor.fan.status[tmnxChassisFanOperStatus.{#SNMPINDEX}],3m,3,"MIB: TIMETRA-SYSTEM-MIB
Current status of the Fan tray.",Fans,FAN Discovery,Template Net Alcatel Timetra TiMOS SNMPv2,
{#SNMPVALUE}: Temperature,sensor.temp.value[tmnxHwTemperature.{#SNMPINDEX}],3m,0,"MIB: TIMETRA-SYSTEM-MIB
The current temperature reading in degrees celsius from this hardware component's temperature sensor.  If this component does not contain a temperature sensor, then the value -1 is returned.",Temperature,Temperature Discovery,Template Net Alcatel Timetra TiMOS SNMPv2,°C
{#ENT_NAME}: Hardware model name,system.hw.model[entPhysicalModelName.{#SNMPINDEX}],1h,1,MIB: ENTITY-MIB,Inventory,Entity Discovery,Template Net Arista SNMPv2,
{#SENSOR_INFO}: Fan speed,sensor.fan.speed[entPhySensorValue.{#SNMPINDEX}],5m,3,"MIB: ENTITY-SENSORS-MIB
The most recent measurement obtained by the agent for this sensor.
To correctly interpret the value of this object, the associated entPhySensorType,
entPhySensorScale, and entPhySensorPrecision objects must also be examined.",Fans,Fan Discovery,Template Net Arista SNMPv2,rpm
{#DEVICE_DESCR}: CPU utilization,system.cpu.util[hrProcessorLoad.{#SNMPINDEX}],3m,0,"MIB: HOST-RESOURCES-MIB
The average, over the last minute, of the percentage of time that this processor was not idle.
Implementations may approximate this one minute smoothing period if necessary.",CPU,CPU Discovery,Template Net Arista SNMPv2,%
#{#SNMPINDEX}: Memory utilization,vm.memory.pused[memoryUsedPercentage.{#SNMPINDEX}],3m,0,Memory utilization in %,Memory,Memory Discovery,Template Net Arista SNMPv2,%
{#ENT_NAME}: Power supply status,sensor.psu.status[entStateOper.{#SNMPINDEX}],3m,3,MIB: ENTITY-STATE-MIB,Power supply,PSU Discovery,Template Net Arista SNMPv2,
{#SNMPVALUE}: Storage utilization,vfs.fs.pused[storageUsedPercentage.{#SNMPINDEX}],5m,0,Storage utilization in % for {#SNMPVALUE},Storage,Storage Discovery,Template Net Arista SNMPv2,%
{#SENSOR_INFO}: Temperature status,sensor.temp.status[entPhySensorOperStatus.{#SNMPINDEX}],3m,3,"MIB: ENTITY-SENSORS-MIB
The operational status of the sensor {#SENSOR_INFO}",Temperature,Temperature Discovery,Template Net Arista SNMPv2,
{#SENSOR_INFO}: Fan speed,sensor.fan.speed[swSensorValue.{#SNMPINDEX}],5m,3,"MIB: SW-MIB
The current value (reading) of the sensor.
The value, -2147483648, represents an unknown quantity.
The fan value will be in RPM(revolution per minute)",Fans,FAN Discovery,Template Net Brocade FC SNMPv2,rpm
{#SENSOR_INFO}: Power supply status,sensor.psu.status[swSensorStatus.{#SNMPINDEX}],3m,3,MIB: SW-MIB,Power supply,PSU Discovery,Template Net Brocade FC SNMPv2,
{#SENSOR_INFO}: Temperature status,sensor.temp.status[swSensorStatus.{#SNMPINDEX}],3m,3,"MIB: SW-MIB
Temperature status of testpoint: {#SENSOR_INFO}",Temperature,Temperature Discovery,Template Net Brocade FC SNMPv2,
Fan {#FAN_INDEX}: Fan status,sensor.fan.status[snChasFanOperStatus.{#SNMPINDEX}],3m,3,MIB: FOUNDRY-SN-AGENT-MIB,Fans,FAN Discovery,Template Net Brocade_Foundry Nonstackable SNMPv2,
PSU {#PSU_INDEX}: Power supply status,sensor.psu.status[snChasPwrSupplyOperStatus.{#SNMPINDEX}],3m,3,MIB: FOUNDRY-SN-AGENT-MIB,Power supply,PSU Discovery,Template Net Brocade_Foundry Nonstackable SNMPv2,
Temperature,sensor.temp.value[snChasActualTemperature.{#SNMPINDEX}],3m,0,"MIB: FOUNDRY-SN-AGENT-MIB
Temperature of the chassis. Each unit is 0.5 degrees Celcius.
Only management module built with temperature sensor hardware is applicable.
For those non-applicable management module, it returns no-such-name.",Temperature,Temperature Discovery Chassis,Template Net Brocade_Foundry Nonstackable SNMPv2,°C
{#SENSOR_DESCR}: Temperature,sensor.temp.value[snAgentTempValue.{#SNMPINDEX}],3m,0,"MIB: FOUNDRY-SN-AGENT-MIB
Temperature of the sensor represented by this row. Each unit is 0.5 degrees Celsius.",Temperature,Temperature Discovery,Template Net Brocade_Foundry Nonstackable SNMPv2,°C
Unit {#SNMPVALUE}: Hardware serial number,system.hw.serialnumber[snChasUnitSerNum.{#SNMPINDEX}],1h,1,"MIB: FOUNDRY-SN-AGENT-MIB
The serial number of the chassis for each unit. If the serial number is unknown or unavailable then the value should be a zero length string.",Inventory,Chassis Discovery,Template Net Brocade_Foundry Stackable SNMPv2,
Unit {#FAN_UNIT} Fan {#FAN_INDEX}: Fan status,sensor.fan.status[snChasFan2OperStatus.{#SNMPINDEX}],3m,3,MIB: FOUNDRY-SN-AGENT-MIB,Fans,FAN Discovery,Template Net Brocade_Foundry Stackable SNMPv2,
Unit {#PSU_UNIT} PSU {#PSU_INDEX}: Power supply status,sensor.psu.status[snChasPwrSupply2OperStatus.{#SNMPINDEX}],3m,3,MIB: FOUNDRY-SN-AGENT-MIB,Power supply,PSU Discovery,Template Net Brocade_Foundry Stackable SNMPv2,
Unit {#SNMPINDEX}: Hardware model name,system.hw.model[snStackingConfigUnitType.{#SNMPINDEX}],1h,1,"MIB: FOUNDRY-SN-STACKING-MIB
A description of the configured/active system type for each unit.",Inventory,Stack Discovery,Template Net Brocade_Foundry Stackable SNMPv2,
{#SENSOR_DESCR}: Temperature,sensor.temp.value[snAgentTemp2Value.{#SNMPINDEX}],3m,0,"MIB: FOUNDRY-SN-AGENT-MIB
Temperature of the sensor represented by this row. Each unit is 0.5 degrees Celsius.",Temperature,Temperature Discovery,Template Net Brocade_Foundry Stackable SNMPv2,°C
{#SNMPVALUE}: Fan status,sensor.fan.status[mySystemFanIsNormal.{#SNMPINDEX}],3m,3,MIB: MY-SYSTEM-MIB,Fans,FAN Discovery,Template Net D-Link DES 7200 SNMPv2,
Memory utilization,vm.memory.pused[myMemoryPoolCurrentUtilization.{#SNMPINDEX}],3m,0,"MIB: MY-MEMORY-MIB
This is the memory pool utilization currently.",Memory,Memory Discovery,Template Net D-Link DES 7200 SNMPv2,%
{#SNMPVALUE}: Power supply status,sensor.psu.status[mySystemElectricalSourceIsNormal.{#SNMPINDEX}],3m,3,MIB: MY-SYSTEM-MIB,Power supply,PSU Discovery,Template Net D-Link DES 7200 SNMPv2,
{#SNMPVALUE}: Temperature,sensor.temp.value[mySystemTemperatureCurrent.{#SNMPINDEX}],3m,0,"MIB: MY-SYSTEM-MIB
Return the current temperature of the FastSwitch.The temperature display is not supported for the current temperature returns to 0.",Temperature,Temperature Discovery,Template Net D-Link DES 7200 SNMPv2,°C
#{#SNMPVALUE}: Fan status,sensor.fan.status[swFanStatus.{#SNMPINDEX}],3m,3,"MIB: EQUIPMENT-MIB
Indicates the current fan status.
speed-0     : If the fan function is normal and the fan does not spin            due to the temperature not  reaching the threshold, the status of the fan is speed 0.
speed-low   : Fan spin using the lowest speed.
speed-middle: Fan spin using the middle speed.
speed-high  : Fan spin using the highest speed.",Fans,FAN Discovery,Template Net D-Link DES_DGS Switch SNMPv2,
#{#SNMPVALUE}: Memory utilization,vm.memory.pused[agentDRAMutilization.{#SNMPINDEX}],3m,0,"MIB: DLINK-AGENT-MIB
The percentage of used DRAM memory of the total DRAM memory available.The value will be between 0%(idle) and 100%(very busy)",Memory,Memory Discovery,Template Net D-Link DES_DGS Switch SNMPv2,%
#{#SNMPVALUE}: Power supply status,sensor.psu.status[swPowerStatus.{#SNMPINDEX}],3m,3,"MIB: EQUIPMENT-MIB
Indicates the current power status.
lowVoltage : The voltage of the power unit is too low.
overCurrent: The current of the power unit is too high.
working    : The power unit is working normally.
fail       : The power unit has failed.
connect    : The power unit is connected but not powered on.
disconnect : The power unit is not connected.",Power supply,PSU Discovery,Template Net D-Link DES_DGS Switch SNMPv2,
#{#SNMPVALUE}: Temperature,sensor.temp.value[swTemperatureCurrent.{#SNMPINDEX}],3m,0,"MIB: EQUIPMENT-MIB
The shelf current temperature.",Temperature,Temperature Discovery,Template Net D-Link DES_DGS Switch SNMPv2,°C
Fan {#SNMPVALUE}: Fan status,sensor.fan.status[chSysFanTrayOperStatus.{#SNMPINDEX}],3m,3,"MIB: F10-S-SERIES-CHASSIS-MIB
The status of the fan tray {#SNMPVALUE}.",Fans,FAN Discovery,Template Net Dell Force S-Series SNMPv2,
#{#SNMPINDEX}: CPU utilization,system.cpu.util[chStackUnitCpuUtil1Min.{#SNMPINDEX}],3m,0,"MIB: F10-S-SERIES-CHASSIS-MIB
CPU utilization in percentage for last 1 minute.",CPU,CPU and Memory and Flash Discovery,Template Net Dell Force S-Series SNMPv2,%
PSU {#SNMPVALUE}: Power supply status,sensor.psu.status[chSysPowerSupplyOperStatus.{#SNMPINDEX}],3m,3,"MIB: F10-S-SERIES-CHASSIS-MIB
The status of the power supply {#SNMPVALUE}",Power supply,PSU Discovery,Template Net Dell Force S-Series SNMPv2,
Device {#SNMPVALUE}: Temperature,sensor.temp.value[chStackUnitTemp.{#SNMPINDEX}],3m,0,"MIB: F10-S-SERIES-CHASSIS-MIB
The temperature of the unit.",Temperature,Stack Unit Discovery,Template Net Dell Force S-Series SNMPv2,°C
Fan {#SNMPVALUE}: Fan speed,sensor.fan.speed[extremeFanSpeed.{#SNMPINDEX}],5m,3,"MIB: EXTREME-SYSTEM-MIB
The speed (RPM) of a cooling fan in the fantray {#SNMPVALUE}",Fans,FAN Discovery,Template Net Extreme EXOS SNMPv2,rpm
#{#SNMPVALUE}: Available memory,vm.memory.free[extremeMemoryMonitorSystemFree.{#SNMPINDEX}],3m,3,"MIB: EXTREME-SOFTWARE-MONITOR-MIB
Total amount of free memory in Kbytes in the system.",Memory,Memory Discovery,Template Net Extreme EXOS SNMPv2,B
PSU {#SNMPVALUE}: Power supply status,sensor.psu.status[extremePowerSupplyStatus.{#SNMPINDEX}],3m,3,"MIB: EXTREME-SYSTEM-MIB
Status of the power supply {#SNMPVALUE}",Power supply,PSU Discovery,Template Net Extreme EXOS SNMPv2,
{#ENT_NAME}: Firmware version,system.hw.firmware[entPhysicalFirmwareRev.{#SNMPINDEX}],1h,1,MIB: ENTITY-MIB,Inventory,Entity Discovery,Template Net HP Comware HH3C SNMPv2,
{#ENT_NAME}: Fan status,sensor.fan.status[hh3cEntityExtErrorStatus.{#SNMPINDEX}],3m,3,"MIB: HH3C-ENTITY-EXT-MIB
Indicate the error state of this entity object.
fanError(41) means that the fan stops working.",Fans,FAN Discovery,Template Net HP Comware HH3C SNMPv2,
{#MODULE_NAME}: CPU utilization,system.cpu.util[hh3cEntityExtCpuUsage.{#SNMPINDEX}],3m,0,"MIB: HH3C-ENTITY-EXT-MIB
The CPU usage for this entity. Generally, the CPU usage
will calculate the overall CPU usage on the entity, and it
is not sensible with the number of CPU on the entity",CPU,Module Discovery,Template Net HP Comware HH3C SNMPv2,%
{#ENT_NAME}: Power supply status,sensor.psu.status[hh3cEntityExtErrorStatus.{#SNMPINDEX}],3m,3,"MIB: HH3C-ENTITY-EXT-MIB
Indicate the error state of this entity object.
psuError(51) means that the power supply unit is in the state of fault.
rpsError(61) means the redundant power supply is in the state of fault.",Power supply,PSU Discovery,Template Net HP Comware HH3C SNMPv2,
{#SNMPVALUE}: Temperature,sensor.temp.value[hh3cEntityExtTemperature.{#SNMPINDEX}],3m,0,"MIB: HH3C-ENTITY-EXT-MIB
The temperature for the {#SNMPVALUE}.",Temperature,Temperature Discovery,Template Net HP Comware HH3C SNMPv2,°C
{#ENT_NAME}: Hardware model name,system.hw.model[entPhysicalDescr.{#SNMPINDEX}],1h,1,MIB: ENTITY-MIB,Inventory,Entity Discovery,Template Net HP Enterprise Switch SNMPv2,
{#ENT_DESCR}: Fan status,sensor.fan.status[hpicfSensorStatus.{#SNMPINDEX}],3m,3,"MIB: HP-ICF-CHASSIS
Actual status indicated by the sensor: {#ENT_DESCR}",Fans,FAN Discovery,Template Net HP Enterprise Switch SNMPv2,
#{#SNMPVALUE}: Available memory,vm.memory.free[hpLocalMemFreeBytes.{#SNMPINDEX}],3m,3,"MIB: NETSWITCH-MIB
The number of available (unallocated) bytes.",Memory,Memory Discovery,Template Net HP Enterprise Switch SNMPv2,B
{#ENT_DESCR}: Power supply status,sensor.psu.status[hpicfSensorStatus.{#SNMPINDEX}],3m,3,"MIB: HP-ICF-CHASSIS
Actual status indicated by the sensor: {#ENT_DESCR}",Power supply,PSU Discovery,Template Net HP Enterprise Switch SNMPv2,
{#SENSOR_INFO}: Temperature,sensor.temp.value[entPhySensorValue.{#SNMPINDEX}],3m,0,"MIB: ENTITY-SENSORS-MIB
The most recent measurement obtained by the agent for this sensor.
To correctly interpret the value of this object, the associated entPhySensorType,
entPhySensorScale, and entPhySensorPrecision objects must also be examined.",Temperature,Temperature Discovery,Template Net HP Enterprise Switch SNMPv2,°C
{#ENT_DESCR}: Temperature status,sensor.temp.status[hpicfSensorStatus.{#SNMPINDEX}],3m,3,"MIB: HP-ICF-CHASSIS
Actual status indicated by the sensor: {#ENT_DESCR}",Temperature,Temp Status Discovery,Template Net HP Enterprise Switch SNMPv2,
#{#SNMPVALUE}: Fan status,sensor.fan.status[hwEntityFanState.{#SNMPINDEX}],3m,3,MIB: HUAWEI-ENTITY-EXTENT-MIB,Fans,FAN Discovery,Template Net Huawei VRP SNMPv2,
{#ENT_NAME}: Hardware model name,system.hw.model[entPhysicalDescr.{#SNMPINDEX}],1h,1,MIB: ENTITY-MIB,Inventory,Entity Discovery,Template Net Huawei VRP SNMPv2,
{#ENT_NAME}: Temperature,sensor.temp.value[hwEntityTemperature.{#SNMPINDEX}],3m,0,"MIB: HUAWEI-ENTITY-EXTENT-MIB
The temperature for the {#SNMPVALUE}.",Temperature,MPU Discovery,Template Net Huawei VRP SNMPv2,°C
{#SNMPVALUE}: Fan status,sensor.fan.status[icsChassisFanOperStatus.{#SNMPINDEX}],3m,3,"MIB: ICS-CHASSIS-MIB
The operational status of the fan unit.",Fans,FAN Discovery,Template Net Intel_Qlogic Infiniband SNMPv2,
{#SNMPVALUE}: Power supply status,sensor.psu.status[icsChassisPowerSupplyEntry.{#SNMPINDEX}],3m,3,"MIB: ICS-CHASSIS-MIB
Actual status of the power supply:
(1) unknown: status not known.
(2) disabled: power supply is disabled.
(3) failed - power supply is unable to supply power due to failure.
(4) warning - power supply is supplying power, but an output or sensor is bad or warning.
(5) standby - power supply believed usable,but not supplying power.
(6) engaged - power supply is supplying power.
(7) redundant - power supply is supplying power, but not needed.
(8) notPresent - power supply is supplying power is not present.",Power supply,PSU Discovery,Template Net Intel_Qlogic Infiniband SNMPv2,
{#SENSOR_INFO}: Temperature status,sensor.temp.status[icsChassisSensorSlotOperStatus.{#SNMPINDEX}],3m,3,"MIB: ICS-CHASSIS-MIB
The operational status of the sensor.",Temperature,Temperature Discovery,Template Net Intel_Qlogic Infiniband SNMPv2,
{#ENT_NAME}: Hardware serial number,system.hw.serialnumber[icsChassisSystemUnitFruSerialNumber.{#SNMPINDEX}],1h,1,"MIB: ICS-CHASSIS-MIB
The serial number of the FRU.  If not available, this value is a zero-length string.",Inventory,Unit Discovery,Template Net Intel_Qlogic Infiniband SNMPv2,
{#SNMPVALUE}: CPU utilization,system.cpu.util[jnxOperating5MinLoadAvg.{#SNMPINDEX}],3m,0,"MIB: JUNIPER-MIB
The CPU Load Average over the last 5 minutes Here it will be shown as percentage valueZero if unavailable or inapplicable.
Reference: http://kb.juniper.net/library/CUSTOMERSERVICE/GLOBAL_JTAC/BK26199/SRX%20SNMP%20Monitoring%20Guide_v1.1.pdf",CPU,CPU and Memory Discovery,Template Net Juniper SNMPv2,%
{#SNMPVALUE}: Fan status,sensor.fan.status[jnxOperatingState.4.{#SNMPINDEX}],3m,3,MIB: JUNIPER-MIB,Fans,FAN Discovery,Template Net Juniper SNMPv2,
{#SNMPVALUE}: Power supply status,sensor.psu.status[jnxOperatingState.2.{#SNMPINDEX}],3m,3,"MIB: JUNIPER-MIB
If they are using DC power supplies there is a known issue on PR 1064039 where the fans do not detect the temperature correctly and fail to cool the power supply causing the shutdown to occur.
This is fixed in Junos 13.3R7 https://forums.juniper.net/t5/Routing/PEM-0-not-OK-MX104/m-p/289644#M14122",Power supply,PSU Discovery,Template Net Juniper SNMPv2,
{#SENSOR_INFO}: Temperature,sensor.temp.value[jnxOperatingTemp.{#SNMPINDEX}],3m,0,"MIB: JUNIPER-MIB
The temperature in Celsius (degrees C) of {#SENSOR_INFO}",Temperature,Temperature discovery,Template Net Juniper SNMPv2,°C
{#ENT_NAME}: Hardware model name,system.hw.model[entPhysicalModelName.{#SNMPINDEX}],1h,1,MIB: ENTITY-MIB,Inventory,Entity Discovery,Template Net Mellanox SNMPv2,
{#SENSOR_INFO}: Fan speed,sensor.fan.speed[entPhySensorValue.{#SNMPINDEX}],5m,3,"MIB: ENTITY-SENSORS-MIB
The most recent measurement obtained by the agent for this sensor.
To correctly interpret the value of this object, the associated entPhySensorType,
entPhySensorScale, and entPhySensorPrecision objects must also be examined.",Fans,Fan Discovery,Template Net Mellanox SNMPv2,rpm
{#ENT_NAME}: Power supply status,sensor.psu.status[entStateOper.{#SNMPINDEX}],3m,3,MIB: ENTITY-STATE-MIB,Power supply,PSU Discovery,Template Net Mellanox SNMPv2,
{#SENSOR_INFO}: Temperature status,sensor.temp.status[entPhySensorOperStatus.{#SNMPINDEX}],3m,3,"MIB: ENTITY-SENSORS-MIB
The operational status of the sensor {#SENSOR_INFO}",Temperature,Temperature Discovery,Template Net Mellanox SNMPv2,
#{#SNMPINDEX}: CPU utilization,system.cpu.util[hrProcessorLoad.{#SNMPINDEX}],3m,0,"MIB: HOST-RESOURCES-MIB
The average, over the last minute, of the percentage of time that this processor was not idle.Implementations may approximate this one minute smoothing period if necessary.",CPU,CPU Discovery,Template Net Mikrotik SNMPv2,%
CPU: Temperature,sensor.temp.value[mtxrHlProcessorTemperature.{#SNMPINDEX}],3m,0,"MIB: MIKROTIK-MIB
(mtxrHlProcessorTemperature) Processor temperature in Celsius (degrees C). Might be missing in entry models (RB750, RB450G..)",Temperature,Temperature Discovery CPU,Template Net Mikrotik SNMPv2,°C
Disk-{#SNMPINDEX}: Storage utilization,vfs.fs.pused[hrStorageSize.{#SNMPINDEX}],5m,0,Storage utilization in % for Disk-{#SNMPINDEX},Storage,Storage Discovery,Template Net Mikrotik SNMPv2,%
#{#SNMPVALUE}: Fan status,sensor.fan.status[boxServicesFanItemState.{#SNMPINDEX}],3m,3,"MIB: FASTPATH-BOXSERVICES-PRIVATE-MIB
The status of fan",Fans,FAN Discovery,Template Net Netgear Fastpath SNMPv2,
